ambient,coolant,motor_speed,torque,stator_yoke,stator_tooth,stator_winding,profile_id
-0.899852,-1.0657504,2.024119,-0.2648122,-1.1057031,-0.8817987,-0.6966245,4
-0.9250329,-1.0442315,2.0241191,-0.26514348,-1.0860043,-0.8426262,-0.667065,4
-0.9444493,-1.066732,2.0241175,-0.2643794,-1.0638422,-0.832356,-0.6423325,4
-0.94402575,-1.0644736,2.0241163,-0.26672903,-1.0498313,-0.8091744,-0.6088251,4
-0.9455023,-1.0590124,2.024116,-0.2650959,-1.0337069,-0.78816116,-0.59736377,4
-0.9006449,-1.0776588,2.0241182,-0.26414776,-1.030528,-0.77341616,-0.5784575,4
-0.88651925,-1.0600063,2.0241182,-0.26516402,-1.0174311,-0.7623175,-0.5492135,4
-0.9075366,-1.0767747,2.0241215,-0.26472926,-0.9945958,-0.7619508,-0.53854483,4
-0.9233707,-1.0745853,2.0241184,-0.2646818,-0.9885642,-0.7619508,-0.52887034,4
-0.9982089,-1.0695716,2.0241182,-0.2645999,-0.9868023,-0.7619508,-0.51643103,4
-0.98428494,-1.0849789,2.0241175,-0.26445493,-0.97700757,-0.7619508,-0.5061786,4
-0.8822754,-1.0685532,2.0241168,-0.26275462,-0.9576873,-0.7619508,-0.49816805,4
-0.7802709,-1.0829763,2.024118,-0.2651389,-0.9426748,-0.7555946,-0.48316568,4
-0.8093564,-1.082847,2.024119,-0.26502597,-0.9395199,-0.6891665,-0.47301698,4
-0.86955196,-1.0737016,2.024116,-0.26700476,-0.9299825,-0.65395933,-0.4651587,4
-0.8639299,-1.089696,2.0241196,-0.26384893,-0.9239357,-0.63576174,-0.46307155,4
-0.9357489,-1.0745361,2.0241163,-0.26321808,-0.92041874,-0.61606616,-0.44616893,4
-0.81573915,-1.0847427,2.0241182,-0.26494572,-0.9144162,-0.6076903,-0.44434983,4
-0.9540853,-1.0869478,2.0241182,-0.26355526,-0.9094169,-0.60658014,-0.43757647,4
-0.94233346,-1.0760198,2.0241177,-0.26350364,-0.9076278,-0.60633326,-0.42801252,4
-0.96260303,-1.0919816,2.024116,-0.26512995,-0.90547395,-0.605742,-0.4257334,4
-0.88124156,-1.0789614,2.0241182,-0.26472232,-0.898434,-0.60166025,-0.41725057,4
-0.8567582,-1.0864319,2.0241184,-0.26470086,-0.89737797,-0.5943852,-0.41794628,4
